buying,maint,doors,persons,lug_boot,safety,class
31854,7471,3,more,small,high,acceptable
43952,6125,5,more,small,low,good
27662,3450,3,two,small,medium,unacceptable
13392,8492,3,two,large,medium,good
35535,5280,5,four,large,high,unacceptable
18067,2868,5,four,small,medium,unacceptable
28599,7155,5,two,medium,medium,very good
40222,8673,2,four,medium,medium,very good
16837,4995,4,two,medium,low,very good
19039,9663,2,four,medium,low,good
35818,6502,4,two,small,medium,acceptable
24115,7114,2,two,large,high,unacceptable
15965,9858,4,two,medium,low,unacceptable
29538,6419,2,four,small,high,unacceptable
47530,1353,5,four,medium,medium,good
10056,4646,3,four,medium,medium,very good
37482,4269,2,two,small,low,acceptable
13110,1074,4,four,large,medium,good
18773,1648,5,four,large,low,very good
32266,6793,2,two,small,medium,good
22412,6957,2,more,large,medium,acceptable
38270,8009,5,two,small,low,very good
11910,5277,2,four,small,low,good
30446,4354,3,two,small,low,acceptable
5206,2991,2,more,large,medium,unacceptable
26518,3624,3,two,small,medium,acceptable
27361,6191,3,four,medium,high,unacceptable
28419,3551,5,more,large,low,good
46523,504,2,four,large,medium,very good
27403,5722,5,more,large,medium,very good
23141,5815,2,more,large,low,good
19820,5369,2,two,medium,high,very good
45342,1376,4,two,large,low,very good
11374,9683,2,four,large,high,unacceptable
6678,7527,5,two,small,medium,good
38827,4642,3,two,large,high,acceptable
21198,7466,2,more,medium,medium,unacceptable
14914,7579,4,two,medium,low,good
32890,8487,5,more,medium,low,unacceptable
27299,7299,2,more,medium,low,acceptable
48585,4965,5,more,large,high,acceptable
48689,1135,4,four,large,medium,good
47557,2193,4,four,medium,low,acceptable
49020,5252,5,four,medium,low,unacceptable
7693,8811,2,more,large,medium,acceptable
34467,1330,3,four,medium,low,unacceptable
34723,5677,4,four,small,medium,unacceptable
8627,9432,2,two,medium,medium,acceptable
30939,8808,2,four,medium,medium,good
47941,6449,3,four,small,medium,very good
26834,3338,4,more,small,medium,acceptable
23047,1650,4,more,large,high,unacceptable
31105,8060,2,more,large,low,unacceptable
15230,2431,2,more,small,high,acceptable
20707,9704,3,more,small,low,good
26976,2164,3,more,large,high,good
49262,1581,4,four,medium,medium,unacceptable
28776,1012,5,more,small,low,unacceptable
35080,8305,4,more,large,low,good
6306,5737,2,two,medium,high,very good
11776,1059,4,four,small,high,acceptable
32251,4172,5,four,medium,low,unacceptable
14474,7904,3,four,large,high,unacceptable
45294,3843,5,more,small,high,good
26959,4570,5,more,medium,high,acceptable
10530,1080,5,more,small,medium,good
34320,7504,3,two,medium,medium,acceptable
8748,8630,5,more,large,high,acceptable
36968,3647,5,two,large,high,acceptable
37562,4749,5,four,small,medium,unacceptable
18545,2179,2,more,medium,medium,very good
5663,4006,5,two,small,low,good
39766,7753,3,two,small,low,very good
12994,3244,5,more,medium,medium,good
33021,9935,5,four,medium,high,acceptable
35303,5688,3,four,medium,high,unacceptable
8304,2641,5,four,large,high,very good
44353,7117,3,two,small,high,unacceptable
22675,2979,5,two,small,low,good
49417,6984,3,two,large,medium,unacceptable
28938,7921,5,two,medium,high,unacceptable
28664,4952,5,four,large,low,very good
6636,6381,2,more,large,high,acceptable
25080,7165,2,two,large,medium,unacceptable
32728,3349,5,two,small,low,acceptable
31736,7890,5,four,large,medium,good
33673,7405,4,more,small,medium,unacceptable
42505,2989,3,more,small,low,very good
5854,9707,4,four,small,low,good
29548,5111,2,four,medium,low,good
43623,3339,2,more,small,low,very good
12392,9027,2,two,small,low,unacceptable
26556,6378,2,more,medium,low,unacceptable
43559,9587,5,four,small,low,good
31309,6803,2,two,large,high,unacceptable
26919,1351,5,two,large,medium,acceptable
9931,2187,5,four,small,low,very good
37970,7333,2,four,medium,high,acceptable
49215,2927,2,four,large,high,unacceptable
17688,4500,3,more,medium,high,good
30342,5552,4,more,medium,medium,very good
42157,3238,2,two,large,low,unacceptable
7327,6232,3,four,medium,high,unacceptable
45772,5887,3,two,large,medium,good
45545,8502,4,two,medium,medium,good
5197,6036,5,two,large,medium,acceptable
28509,4413,2,two,small,high,very good
39698,1566,4,four,large,low,very good
49542,8223,2,two,large,high,good
20087,4880,3,four,large,high,acceptable
27671,4607,3,four,large,low,very good
30184,6226,5,more,medium,low,good
32848,3873,3,four,small,low,unacceptable
47107,9445,3,more,large,medium,very good
25666,2582,4,four,medium,low,acceptable
49357,9467,2,four,small,high,acceptable
20708,7248,2,four,small,low,acceptable
31370,917,4,more,small,high,unacceptable
7811,8806,5,more,small,medium,very good
11546,9308,2,two,large,high,very good
39754,4474,3,more,large,high,unacceptable
35206,3767,2,more,medium,low,very good
46106,1325,3,more,medium,low,unacceptable
16411,8168,5,more,medium,high,unacceptable
7911,6245,4,two,small,low,unacceptable
6734,912,2,more,small,medium,acceptable
23227,8043,4,four,large,medium,very good
13680,8087,2,four,small,low,unacceptable
24360,1228,3,more,small,medium,very good
23343,7664,4,more,small,low,acceptable
10759,9367,2,four,medium,high,unacceptable
28078,6488,3,four,medium,high,good
40153,3004,4,two,large,medium,acceptable
16111,3467,4,four,small,low,good
42504,3286,2,four,small,low,very good
6802,1622,2,more,large,medium,very good
13155,4579,2,four,small,high,acceptable
13120,2071,3,two,small,medium,very good
44384,5573,2,four,medium,high,good
26918,5604,4,more,large,low,unacceptable
25445,2643,4,more,large,high,unacceptable
35306,7306,2,four,large,medium,unacceptable
21646,7857,2,more,large,low,acceptable
36065,3940,5,two,medium,medium,very good
30199,4266,4,two,medium,medium,good
46976,6144,3,four,small,high,very good
21371,3414,5,four,small,medium,very good
16835,5468,2,four,small,high,very good
7049,6417,2,more,small,low,unacceptable
36616,9287,4,two,medium,high,good
43191,1228,2,two,large,low,good
